file_Id,product_Code,color,file_src,,,
1,AFW1,black,product/accessories/footwear/Patent Leather Heel Sandals/colors option/black/ppzvq_512.webp,,,
2,AFW1,black,product/accessories/footwear/Patent Leather Heel Sandals/colors option/black/main.jpeg,,,
3,AFW1,black,product/accessories/footwear/Patent Leather Heel Sandals/colors option/black/5.jpeg,,,
4,AFW1,black,product/accessories/footwear/Patent Leather Heel Sandals/colors option/black/1.jpeg,,,
5,AFW1,peach,product/accessories/footwear/Patent Leather Heel Sandals/colors option/peach/tggz6_512.webp,,,
6,AFW1,peach,product/accessories/footwear/Patent Leather Heel Sandals/colors option/peach/6.jpeg,,,
7,AFW1,peach,product/accessories/footwear/Patent Leather Heel Sandals/colors option/peach/8.jpeg,,,
8,AFW1,peach,product/accessories/footwear/Patent Leather Heel Sandals/colors option/peach/9.jpeg,,,
9,AGP1,,product/accessories/general products/Four Sided Folding Mirror/GPW0001-Four-Sided-Folding-Mirror.jpeg,,,
10,AHB2,white,product/accessories/handbags/Beautiful Sling Bags for women and girls/colors option/white/main.webp,,,
11,AHB2,white,product/accessories/handbags/Beautiful Sling Bags for women and girls/colors option/white/k694a_512.jpg,,,
12,AHB2,white,product/accessories/handbags/Beautiful Sling Bags for women and girls/colors option/white/k694a_512.webp,,,
13,AHB2,white,product/accessories/handbags/Beautiful Sling Bags for women and girls/colors option/white/oab3c_512.webp,,,
14,AHB2,white,product/accessories/handbags/Beautiful Sling Bags for women and girls/colors option/white/ziynu_512.webp,,,
15,AHB1,brown,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/brown/main.webp,,,
16,AHB1,brown,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/brown/4k6ng_512.webp,,,
17,AHB1,brown,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/brown/yslju_512.webp,,,
18,AHB1,brown,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/brown/yslju_512.webp,,,
19,AHB1,green,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/green/main.webp,,,
20,AHB1,green,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/green/fdioq_512.webp,,,
21,AHB1,green,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/green/r5zjb_512.webp,,,
22,AHB1,green,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/green/kfphe_512.webp,,,
23,AHB1,grey,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/grey/main.webp,,,
24,AHB1,grey,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/grey/f0rmd_512.webp,,,
25,AHB1,grey,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/grey/edezo_512.webp,,,
26,AHB1,grey,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/grey/nrl0h_512.webp,,,
27,AHB1,light green,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/light green/main.png,,,
28,AHB1,light green,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/light green/main.webp,,,
29,AHB1,light green,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/light green/obrh1_512.webp,,,
30,AHB1,light green,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/light green/obrh1_512.webp,,,
31,AHB1,light green,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/light green/psnnb_512.webp,,,
32,AHB1,maroon,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/maroon/main.webp,,,
33,AHB1,maroon,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/maroon/ghmr2_512.webp,,,
34,AHB1,maroon,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/maroon/pui1x_512.webp,,,
35,AHB1,maroon,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/maroon/9u0bp_512.webp,,,
36,AHB1,peach,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/peach/main.webp,,,
37,AHB1,peach,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/peach/k1jjo_512.webp,,,
38,AHB1,peach,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/peach/ngtst_512.webp,,,
39,AHB1,peach,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/peach/67oxj_512.webp,,,
40,AHB1,pink,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/pink/main.webp,,,
41,AHB1,pink,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/pink/xpkct_512.webp,,,
42,AHB1,pink,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/pink/xxbyj_512.webp,,,
43,AHB1,pink,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/pink/ykwjo_512.webp,,,
44,AHB1,sky blue,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/sky blue/main.webp,,,
45,AHB1,sky blue,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/sky blue/9i7tk_512.webp,,,
46,AHB1,sky blue,product/accessories/handbags/Graceful Stylish Slingbags Luxury High Quality PU Leather Women Shoulder Bag/colors option/sky blue/xj49l_512.webp,,,
